File_ID,Time,Volt_Mean,Volt_Max,Volt_Min,Volt_Diff,Volt_Std,Temp_Mean,Temp_Max,Temp_Diff,Volt_Drop_Rate,Volt_Diff_Change
1020,12:45:03,4.0451827,4.055,4.038,0.016999722,0.0032567722,32.725,33.4,1.4000015,0.0,0.0
1020,12:45:04,4.045205,4.055,4.037,0.017999649,0.0032448685,32.728127,33.4,1.4000015,2.2411346e-05,0.0009999275
1020,12:45:05,4.0451884,4.055,4.037,0.017999649,0.0032660828,32.728127,33.4,1.4000015,1.66893e-05,0.0
1020,12:45:06,4.0451655,4.055,4.037,0.017999649,0.0032568066,32.73125,33.4,1.4000015,2.2888184e-05,0.0
1020,12:45:07,4.0451937,4.055,4.037,0.017999649,0.0032455684,32.728127,33.4,1.4000015,2.8133392e-05,0.0
1020,12:45:08,4.0451994,4.055,4.037,0.017999649,0.0032531372,32.725,33.4,1.4000015,5.722046e-06,0.0
1020,12:45:09,4.0451765,4.055,4.037,0.017999649,0.0032614684,32.73125,33.4,1.4000015,2.2888184e-05,0.0
1020,12:45:10,4.0451655,4.055,4.037,0.017999649,0.0032497852,32.73125,33.4,1.4000015,1.0967255e-05,0.0
1020,12:45:11,4.045182,4.055,4.037,0.017999649,0.0032462263,32.734375,33.4,1.4000015,1.66893e-05,0.0
1020,12:45:12,4.045182,4.055,4.037,0.017999649,0.0032637808,32.725,33.4,1.4000015,0.0,0.0
1020,12:45:13,4.0451884,4.055,4.037,0.017999649,0.003223823,32.728127,33.4,1.4000015,6.198883e-06,0.0
1020,12:45:14,4.045171,4.055,4.037,0.017999649,0.0032486054,32.725,33.4,1.4000015,1.7642975e-05,0.0
1020,12:45:15,4.0451713,4.055,4.037,0.017999649,0.0032573899,32.734375,33.5,1.5,4.7683716e-07,0.0
1020,12:45:16,4.045182,4.055,4.037,0.017999649,0.0032532616,32.725,33.4,1.4000015,1.0967255e-05,0.0
1020,12:45:17,4.045171,4.055,4.037,0.017999649,0.00325388,32.728127,33.4,1.4000015,1.1444092e-05,0.0
1020,12:45:18,4.045177,4.055,4.038,0.016999722,0.003235082,32.721878,33.4,1.4000015,6.198883e-06,0.0009999275
1020,12:45:19,4.0451937,4.055,4.037,0.017999649,0.0032508434,32.73125,33.4,1.4000015,1.66893e-05,0.0009999275
1020,12:45:20,4.0451703,4.055,4.037,0.017999649,0.0032433248,32.725,33.4,1.4000015,2.336502e-05,0.0
1020,12:45:21,4.045154,4.055,4.037,0.017999649,0.0032783477,32.721878,33.4,1.4000015,1.6212463e-05,0.0
1020,12:45:22,4.0452,4.055,4.037,0.017999649,0.0032337576,32.728127,33.4,1.4000015,4.5776367e-05,0.0
1020,12:45:23,4.045165,4.055,4.038,0.016999722,0.0032462617,32.728127,33.4,1.4000015,3.4809113e-05,0.0009999275
1020,12:45:24,4.0451603,4.055,4.037,0.017999649,0.0032244737,32.725,33.4,1.4000015,4.7683716e-06,0.0009999275
1020,12:45:25,4.045165,4.055,4.038,0.016999722,0.0032321522,32.728127,33.4,1.4000015,4.7683716e-06,0.0009999275
1020,12:45:26,4.045177,4.055,4.037,0.017999649,0.003247421,32.725,33.4,1.4000015,1.1920929e-05,0.0009999275
1020,12:45:27,4.045182,4.055,4.037,0.017999649,0.0032356482,32.728127,33.4,1.4000015,5.2452087e-06,0.0
1020,12:45:28,3.9964533,4.005,3.988,0.017000198,0.0035129376,32.73125,33.4,1.4000015,0.048728943,0.0009994507
1020,12:45:29,3.9895349,3.999,3.981,0.018000126,0.0034803927,32.728127,33.4,1.4000015,0.0069184303,0.0009999275
1020,12:45:30,3.9853976,3.995,3.977,0.017999887,0.0034773932,32.73125,33.4,1.4000015,0.0041372776,2.3841858e-07
1020,12:45:31,3.9811585,3.99,3.974,0.016000032,0.0034422067,32.746876,33.5,1.5,0.0042390823,0.001999855
1020,12:45:32,3.9770517,3.986,3.969,0.01699996,0.003558938,32.75625,33.5,1.4000015,0.00410676,0.0009999275
1020,12:45:33,3.972891,3.982,3.965,0.017000198,0.0034764113,32.768745,33.5,1.5,0.0041606426,2.3841858e-07
1020,12:45:34,3.9707708,3.979,3.963,0.016000032,0.0034133417,32.79375,33.5,1.4000015,0.0021202564,0.0010001659
1020,12:45:35,3.9673185,3.976,3.96,0.016000032,0.0034675468,32.800003,33.5,1.4000015,0.003452301,0.0
1020,12:45:36,3.9646547,3.973,3.956,0.01699996,0.0034291705,32.815624,33.5,1.4000015,0.0026638508,0.0009999275
1020,12:45:37,3.9619956,3.971,3.955,0.016000032,0.0034367694,32.824997,33.5,1.4000015,0.0026590824,0.0009999275
1020,12:45:38,3.9597275,3.969,3.952,0.017000198,0.0034648364,32.837498,33.6,1.5,0.002268076,0.0010001659
1020,12:45:39,3.9574087,3.966,3.949,0.017000198,0.0034314108,32.85,33.6,1.5,0.002318859,0.0
1020,12:45:40,3.9555051,3.964,3.948,0.016000032,0.0033738625,32.853123,33.6,1.5,0.0019035339,0.0010001659
1020,12:45:41,3.9539073,3.963,3.946,0.01699996,0.0033437053,32.87812,33.6,1.3999977,0.0015978813,0.0009999275
1020,12:45:42,3.951354,3.96,3.944,0.016000032,0.003380764,32.887497,33.6,1.5,0.0025532246,0.0009999275
1020,12:45:43,3.9491873,3.958,3.942,0.016000032,0.0033981495,32.909374,33.6,1.3999977,0.002166748,0.0
1020,12:45:44,3.9484613,3.957,3.94,0.01699996,0.0033938647,32.925,33.6,1.3999977,0.0007259846,0.0009999275
1020,12:45:45,3.946744,3.956,3.94,0.016000032,0.0034834146,32.93125,33.7,1.5,0.001717329,0.0009999275
1020,12:45:46,3.9444153,3.954,3.937,0.01699996,0.0033964084,32.95,33.7,1.5,0.0023286343,0.0009999275
1020,12:45:47,3.9425843,3.951,3.935,0.016000032,0.0033879927,32.959377,33.7,1.4000015,0.0018310547,0.0009999275
1020,12:45:48,3.9409754,3.949,3.933,0.015999794,0.0033550845,32.9625,33.7,1.5,0.0016088486,2.3841858e-07
1020,12:45:49,3.9394202,3.949,3.932,0.01699996,0.0033337057,32.98437,33.7,1.4000015,0.0015552044,0.0010001659
1020,12:45:50,3.938034,3.947,3.93,0.01699996,0.003343046,32.996872,33.7,1.4000015,0.0013861656,0.0
1020,12:45:51,3.9361253,3.945,3.928,0.01699996,0.0033917928,33.01875,33.7,1.4000015,0.0019087791,0.0
1020,12:45:52,3.9345908,3.943,3.926,0.01699996,0.003326556,33.03125,33.7,1.4000015,0.001534462,0.0
